테이블	순번	컬럼	타입	NULL	기본값	설명
── user (160컬럼) — 회원. 로그인 정보·등급·이용기간·담당 상담원·유입경로가 모두 여기 있다						
user	1	idx	bigint unsigned	NO	NULL	PK(자동증가)
user	2	convKey	varchar(64)	NO		외부 이관/전환 키 — 다른 시스템에서 옮겨온 원본 식별자
user	3	convBackup	mediumtext	NO	NULL	이관 전 원본 데이터 백업(JSON/문자열)
user	4	convSvcCode	varchar(64)	NO		이관 원본 서비스 코드
user	5	convSvcName	varchar(64)	NO		이관 원본 서비스명
user	6	convSvcDateTimeEnd	varchar(64)	NO		이관 원본의 이용종료일
user	7	statCode	varchar(16)	NO	standby	회원 상태 — 정상/대기/정지/탈퇴/삭제 등
user	8	statTmCode	varchar(16)	NO	new	★TM(상담) 상태 — 상담원이 관리하는 영업 단계
user	9	statAdmCode	varchar(16)	NO		★관리자 분류 — 신규/하루전/이틀전/구디비
user	10	moveCode	varchar(16)	NO		DB 이동 구분
user	11	partnerIdx	bigint	NO	0	제휴사 idx
user	12	friendIdx	bigint	NO	0	추천인 회원 idx
user	13	salesIdx	bigint	NO	0	★담당 상담원(TM) 회원 idx — user 테이블 자기참조
user	14	salesAllocDateTime	datetime	NO	0000-00-00 00:00:00	담당자 배정 일시
user	15	salesAllocAutoDateTime	datetime	NO	0000-00-00 00:00:00	자동배정 일시
user	16	salesAllocIdxCnt	tinyint	NO	0	배정 횟수
user	17	salesAllocIdxLog	varchar(255)	NO		역대 배정 담당자 이력
user	18	salesAutoAllocNew	int	NO	0	자동배정(신규) 설정
user	19	salesAutoAllocOld	int	NO	0	자동배정(구DB) 설정
user	20	salesAutoAllocDateTime	datetime	NO	0000-00-00 00:00:00	자동배정 기준 일시
user	21	salesCode	varchar(32)	NO		영업 구분 코드
user	22	salesTouchDateTime	datetime	NO	0000-00-00 00:00:00	담당자가 마지막으로 조회한 일시
user	23	salesMemoDateTime	datetime	NO	0000-00-00 00:00:00	담당자가 마지막으로 메모 남긴 일시
user	24	groupSystemYN	enum('Y','N')	NO	N	권한: 시스템관리자
user	25	groupAdminYN	enum('Y','N')	NO	N	권한: 관리자
user	26	groupPartnerYN	enum('Y','N')	NO	N	권한: 제휴사
user	27	groupSalesYN	enum('Y','N')	NO	N	권한: 상담원(1차)
user	28	groupSecondSalesYN	enum('Y','N')	NO	N	권한: 상담원(2차)
user	29	groupStaffYN	enum('Y','N')	NO	N	권한: 직원
user	30	groupQuickYN	enum('Y','N')	NO	N	간편가입 회원 여부
user	31	groupDummyYN	enum('Y','N')	NO	N	더미(테스트) 계정 여부
user	32	groupAdYN	enum('Y','N')	NO	N	광고 유입 회원 여부
user	33	groupTeamAdmYN	enum('Y','N')	NO	N	권한: 팀장
user	34	groupTeamYN	enum('Y','N')	NO	N	팀 소속 여부
user	35	groupTeamOpenYN	enum('Y','N')	NO	N	팀 공개 여부
user	36	groupTeamIdx	bigint	NO	0	소속 팀 idx
user	37	groupAllocLockYN	enum('Y','N')	NO	N	배정 잠금
user	38	groupAllocYN	enum('Y','N')	NO	N	배정 대상 여부
user	39	groupAllocDateTime	datetime	NO	0000-00-00 00:00:00	배정 일시
user	40	memoLastDateTime	datetime	NO	0000-00-00 00:00:00	최근 상담메모 일시(비정규화 캐시)
user	41	memoLastStatTmCode	varchar(32)	NO		최근 상담메모의 TM 상태
user	42	memoLastContents	varchar(255)	NO		최근 상담메모 내용 요약(255자)
user	43	tokenWeb	varchar(128)	NO		웹 세션 토큰
user	44	tokenPushbullet	varchar(128)	NO		Pushbullet 토큰
user	45	tmLevel	tinyint(1)	NO	0	TM 차수(1차/2차)
user	46	levelNum	tinyint(1)	NO	1	★회원 등급 번호 — 사이트마다 이름이 다름(등급 시트 참조)
user	47	id	varchar(255)	NO		★로그인 아이디 (AES 암호화)
user	48	name	varchar(255)	NO		★이름 (AES 암호화)
user	49	pw	varchar(45)	NO		비밀번호 해시
user	50	pwTemp	varchar(45)	NO		임시 비밀번호
user	51	nick	varchar(255)	NO		★닉네임 (AES 암호화)
user	52	email	varchar(64)	NO		이메일
user	53	phone	varchar(255)	NO		★휴대폰번호 (AES 암호화)
user	54	phoneAuth	varchar(32)	NO		인증한 휴대폰번호
user	55	phoneAuthNum	varchar(32)	NO		인증번호
user	56	phoneAuthYN	enum('Y','N')	NO	N	휴대폰 인증 완료 여부
user	57	phoneAuthDateTime	datetime	NO	0000-00-00 00:00:00	휴대폰 인증 일시
user	58	schedulePickSmsWeek	varchar(8)	NO	mon	★조합 발송 요일 1차(mon~sun)
user	59	schedulePickSmsHour	tinyint	NO	9	★조합 발송 시각 1차(0~23)
user	60	schedulePickSmsWeek2	varchar(8)	NO		조합 발송 요일 2차
user	61	schedulePickSmsHour2	tinyint	NO	0	조합 발송 시각 2차
user	62	tel	varchar(32)	NO		일반 전화
user	63	fax	varchar(32)	NO		팩스
user	64	addrZip	varchar(16)	NO		우편번호
